WORD,A,ADV,C,D,N,P,PRO,V,TOTAL
bourbon,0,0,0,0,8,0,0,0,8
fatuous,2,0,0,0,0,0,0,0,2
pseudo-sophistication,0,0,0,0,1,0,0,0,1
soft-drinks,0,0,0,0,1,0,0,0,1
toothpaste,0,0,0,0,1,0,0,0,1
enticing,0,0,0,0,0,0,0,1,1
viewer,0,0,0,0,4,0,0,0,4
sipping,0,0,0,0,0,0,0,8,8
oopsie-cola,0,0,0,0,1,0,0,0,1
gulling,0,0,0,0,0,0,0,1,1
downing,0,0,0,0,0,0,0,1,1
democrats',0,0,0,0,1,0,0,0,1
faction,0,0,0,0,5,0,0,0,5
lax,3,0,0,0,0,0,0,0,3
awkward,11,0,0,0,0,0,0,0,11
livelier,2,0,0,0,0,0,0,0,2
links,0,0,0,0,7,0,0,0,7
ills,0,0,0,0,9,0,0,0,9
public-spirited,3,0,0,0,0,0,0,0,3
shortcomings,0,0,0,0,5,0,0,0,5
mercilessly,0,3,0,0,0,0,0,0,3
regulars,0,0,0,0,6,0,0,0,6
bosses,0,0,0,0,5,0,0,0,5
k's,0,0,0,0,1,0,0,0,1
softly,0,31,0,0,0,0,0,0,31
sticks,0,0,0,0,19,0,0,3,22
helicopter-borne,1,0,0,0,0,0,0,0,1
bangkok,0,0,0,0,1,0,0,0,1
australian,4,0,0,0,5,0,0,0,9
thai,0,0,0,0,1,0,0,0,1
dealings,0,0,0,0,7,0,0,0,7
issuing,0,0,0,0,0,0,0,4,4
callable,1,0,0,0,0,0,0,0,1
bluffs,0,0,0,0,4,0,0,0,4
pawn,0,0,0,0,2,0,0,0,2
unprovocative,1,0,0,0,0,0,0,0,1
purely,0,30,0,0,0,0,0,0,30
tempted,0,0,0,0,0,0,0,13,13
bog,0,0,0,0,0,0,0,1,1
casualties,0,0,0,0,3,0,0,0,3
"2,000",8,0,0,0,0,0,0,0,8
minh,0,0,0,0,1,0,0,0,1
combat-tested,1,0,0,0,0,0,0,0,1
monsoon-shrouded,1,0,0,0,0,0,0,0,1
road-shy,1,0,0,0,0,0,0,0,1
guerrilla-th'-wisp,1,0,0,0,0,0,0,0,1
terrain,0,0,0,0,8,0,0,0,8
savored,0,0,0,0,0,0,0,3,3
enjoyment,0,0,0,0,21,0,0,0,21
braddock-against-the-indians,1,0,0,0,0,0,0,0,1
aim,0,0,0,0,27,0,0,10,37
ironic,13,0,0,0,0,0,0,0,13
concept,0,0,0,0,85,0,0,0,85
bypassed,0,0,0,0,0,0,0,1,1
unreasonable,3,0,0,0,0,0,0,0,3
tacitly,0,2,0,0,0,0,0,0,2
rightist,0,0,0,0,1,0,0,0,1
ousted,0,0,0,0,0,0,0,1,1
pro-neutralist,1,0,0,0,0,0,0,0,1
patrolled,0,0,0,0,0,0,0,2,2
guaranteed-neutral,1,0,0,0,0,0,0,0,1
coup-proof,1,0,0,0,0,0,0,0,1
well-ruled,1,0,0,0,0,0,0,0,1
militant,7,0,0,0,1,0,0,0,8
minority,0,0,0,0,20,0,0,0,20
seal,0,0,0,0,14,0,0,3,17
awaits,0,0,0,0,0,0,0,3,3
overwhelming,20,0,0,0,0,0,0,0,20
64-13,1,0,0,0,0,0,0,0,1
emulated,0,0,0,0,0,0,0,1,1
backing,0,0,0,0,3,0,0,5,8
etv,0,0,0,0,2,0,0,0,2
"$1,000,000",0,0,0,0,2,0,0,0,2
departs,0,0,0,0,0,0,0,2,2
sturdy,16,0,0,0,0,0,0,0,16
habitat,0,0,0,0,14,0,0,0,14
flourished,0,0,0,0,0,0,0,6,6
forceful,8,0,0,0,0,0,0,0,8
classify,0,0,0,0,0,0,0,6,6
frontier,0,0,0,0,30,0,0,0,30
rear-looking,1,0,0,0,0,0,0,0,1
partisans,0,0,0,0,1,0,0,0,1
persuasion,0,0,0,0,9,0,0,0,9
politician,0,0,0,0,13,0,0,0,13
unnumbered,1,0,0,0,0,0,0,0,1
loquacious,2,0,0,0,0,0,0,0,2
retraction,0,0,0,0,1,0,0,0,1
theirs,0,0,0,0,0,0,21,0,21
flamboyant,3,0,0,0,0,0,0,0,3
audiences,0,0,0,0,16,0,0,0,16
growl,0,0,0,0,4,0,0,0,4
nod,0,0,0,0,8,0,0,4,12
dramas,0,0,0,0,6,0,0,0,6
gripping,0,0,0,0,0,0,0,6,6
chatter,0,0,0,0,6,0,0,1,7
subside,0,0,0,0,0,0,0,2,2
sensibly,0,4,0,0,0,0,0,0,4
oratorical,2,0,0,0,0,0,0,0,2
persuading,0,0,0,0,1,0,0,4,5
educating,0,0,0,0,0,0,0,3,3
patiently,0,9,0,0,0,0,0,0,9
generations,0,0,0,0,23,0,0,0,23
coincided,0,0,0,0,0,0,0,6,6
loved,0,0,0,0,0,0,0,56,56
harding,0,0,0,0,2,0,0,0,2
calvin,0,0,0,0,4,0,0,0,4
fdr,0,0,0,0,2,0,0,0,2
revolution,0,0,0,0,70,0,0,0,70
fighter,0,0,0,0,9,0,0,0,9
recall,0,0,0,0,4,0,0,35,39
hopeless,14,0,0,0,0,0,0,0,14
partisan,12,0,0,0,9,0,0,0,21
sadder,1,0,0,0,0,0,0,0,1
campaigns,0,0,0,0,17,0,0,0,17
airmen,0,0,0,0,1,0,0,0,1
jungle,0,0,0,0,20,0,0,0,20
bloodlust,0,0,0,0,1,0,0,0,1
murderers,0,0,0,0,5,0,0,0,5
dismembered,0,0,0,0,0,0,0,2,2
excuse,0,0,0,0,22,0,0,6,28
mistaken,0,0,0,0,0,0,0,17,17
italians,0,0,0,0,7,0,0,0,7
atrocities,0,0,0,0,2,0,0,0,2
savages,0,0,0,0,6,0,0,0,6
condoned,0,0,0,0,0,0,0,1,1
dissident,1,0,0,0,0,0,0,0,1
nationhood,0,0,0,0,1,0,0,0,1
contrary,41,0,0,0,11,0,0,0,52
piled,0,0,0,0,0,0,0,16,16
rapes,0,0,0,0,1,0,0,0,1
mutinies,0,0,0,0,1,0,0,0,1
pillage,0,0,0,0,1,0,0,2,3
sanction,0,0,0,0,7,0,0,4,11
occurrences,0,0,0,0,10,0,0,0,10
outlawry,0,0,0,0,1,0,0,0,1
anarchy,0,0,0,0,7,0,0,0,7
demonstrably,0,2,0,0,0,0,0,0,2
incapable,11,0,0,0,0,0,0,0,11
commanding,0,0,0,0,1,0,0,10,11
bury,0,0,0,0,1,0,0,5,6
wake,0,0,0,0,7,0,0,16,23
ruin,0,0,0,0,9,0,0,5,14
invade,0,0,0,0,0,0,0,5,5
subjugate,0,0,0,0,0,0,0,1,1
fantastically,0,2,0,0,0,0,0,0,2
wrong-headed,1,0,0,0,0,0,0,0,1
weak,32,0,0,0,0,0,0,0,32
demoralized,0,0,0,0,0,0,0,1,1
garrisoned,0,0,0,0,0,0,0,1,1
reasonably,0,34,0,0,0,0,0,0,34
mandated,0,0,0,0,0,0,0,1,1
expediency,0,0,0,0,2,0,0,0,2
mandate,0,0,0,0,7,0,0,0,7
inconsistent,5,0,0,0,0,0,0,0,5
realism,0,0,0,0,24,0,0,0,24
courage,0,0,0,0,32,0,0,0,32
magnitude,0,0,0,0,29,0,0,0,29
urge,0,0,0,0,8,0,0,13,21
blindly,0,8,0,0,0,0,0,0,8
featherbed,0,0,0,0,1,0,0,0,1
reversal,0,0,0,0,2,0,0,0,2
editorial,4,0,0,0,38,0,0,0,42
telegraphers,0,0,0,0,5,0,0,0,5
secured,0,0,0,0,0,0,0,11,11
hours',0,0,0,0,1,0,0,0,1
featherbedding,0,0,0,0,0,0,0,1,1
misplaced,0,0,0,0,0,0,0,7,7
compensating,0,0,0,0,0,0,0,2,2
discloses,0,0,0,0,0,0,0,1,1
stabilized,0,0,0,0,0,0,0,1,1
attrition,0,0,0,0,5,0,0,0,5
necessarily,0,51,0,0,0,0,0,0,51
applicable,18,0,0,0,0,0,0,0,18
meditations,0,0,0,0,4,0,0,0,4
internationalists,0,0,0,0,1,0,0,0,1
lads,0,0,0,0,1,0,0,0,1
humidity,0,0,0,0,8,0,0,0,8
imperfection,0,0,0,0,1,0,0,0,1
peaceful,26,0,0,0,0,0,0,0,26
abiding,0,0,0,0,0,0,0,5,5
covenant,0,0,0,0,3,0,0,0,3
jumper,0,0,0,0,1,0,0,0,1
moon,0,0,0,0,59,0,0,1,60
wallop,0,0,0,0,1,0,0,0,1
backward,5,17,0,0,0,0,0,0,22
oafs,0,0,0,0,1,0,0,0,1
surrendering,0,0,0,0,0,0,0,4,4
pacifier,0,0,0,0,1,0,0,0,1
dimensions,0,0,0,0,30,0,0,0,30
triggered,0,0,0,0,0,0,0,7,7
experimentally,0,8,0,0,0,0,0,0,8
bang,0,0,0,0,3,0,0,2,5
propel,0,0,0,0,0,0,0,4,4
seminar,0,0,0,0,4,0,0,0,4
drink,0,0,0,0,56,0,0,26,82
bellowing,0,0,0,0,0,0,0,2,2
coexistence,0,0,0,0,11,0,0,0,11
fools,0,0,0,0,5,0,0,0,5
bayed,0,0,0,0,0,0,0,3,3
humble,17,0,0,0,0,0,0,1,18
marimba,0,0,0,0,1,0,0,0,1
domes,0,0,0,0,8,0,0,0,8
spreading,0,0,0,0,1,0,0,15,16
hijacking,0,0,0,0,1,0,0,1,2
demented,0,0,0,0,0,0,0,1,1
algerian,4,0,0,0,1,0,0,0,5
craft,0,0,0,0,23,0,0,0,23
unwelcome,5,0,0,0,0,0,0,0,5
mortification,0,0,0,0,1,0,0,0,1
colombian,1,0,0,0,1,0,0,0,2
admirer,0,0,0,0,3,0,0,0,3
shadow,0,0,0,0,34,0,0,2,36
gunman,0,0,0,0,3,0,0,0,3
conventions,0,0,0,0,9,0,0,0,9
che,0,0,0,0,1,0,0,0,1
guevara,0,0,0,0,1,0,0,0,1
edified,0,0,0,0,0,0,0,1,1
montevideo,0,0,0,0,1,0,0,0,1
purloined,0,0,0,0,0,0,0,1,1
caracas,0,0,0,0,1,0,0,0,1
contents,0,0,0,0,16,0,0,0,16
millennium,0,0,0,0,4,0,0,0,4
moralities,0,0,0,0,1,0,0,0,1
stealing,0,0,0,0,2,0,0,4,6
demurrer,0,0,0,0,2,0,0,0,2
incompetence,0,0,0,0,4,0,0,0,4
protecting,0,0,0,0,0,0,0,3,3
half-hearted,3,0,0,0,0,0,0,0,3
symptomatic,7,0,0,0,0,0,0,0,7
holding,0,0,0,0,4,0,0,61,65
felonious,2,0,0,0,0,0,0,0,2
rations,0,0,0,0,4,0,0,0,4
minded,0,0,0,0,0,0,0,3,3
customer,0,0,0,0,27,0,0,0,27
suspension,0,0,0,0,12,0,0,0,12
100-ton,1,0,0,0,0,0,0,0,1
truckers,0,0,0,0,1,0,0,0,1
maze,0,0,0,0,6,0,0,0,6
regulatory,5,0,0,0,0,0,0,0,5
shock,0,0,0,0,29,0,0,2,31
dag,0,0,0,0,7,0,0,0,7
hammarskjold's,0,0,0,0,5,0,0,0,5
shockwave,0,0,0,0,2,0,0,0,2
tragic,33,0,0,0,0,0,0,0,33
hangs,0,0,0,0,0,0,0,4,4
precariously,0,3,0,0,0,0,0,0,3
momentous,8,0,0,0,0,0,0,0,8
desperately,0,21,0,0,1,0,0,0,22
congo's,0,0,0,0,1,0,0,0,1
bloody,8,0,0,0,0,0,0,0,8
earnestly,0,13,0,0,0,0,0,0,13
u.n.-chartered,1,0,0,0,0,0,0,0,1
ndola,0,0,0,0,1,0,0,0,1
rhodesia,0,0,0,0,1,0,0,0,1
riddled,0,0,0,0,0,0,0,2,2
machinegun,0,0,0,0,1,0,0,0,1
bullets,0,0,0,0,21,0,0,0,21
overt,11,0,0,0,0,0,0,0,11
nations',0,0,0,0,3,0,0,0,3
uncompromising,5,0,0,0,0,0,0,0,5
courageously,0,3,0,0,0,0,0,0,3
defended,0,0,0,0,0,0,0,18,18
resolved,0,0,0,0,0,0,0,21,21
conflicts,0,0,0,0,8,0,0,1,9
ignite,0,0,0,0,0,0,0,2,2
solutions,0,0,0,0,29,0,0,0,29
katangan,1,0,0,0,0,0,0,0,1
outbreaks,0,0,0,0,3,0,0,0,3
imperiled,0,0,0,0,0,0,0,1,1
calming,0,0,0,0,0,0,0,2,2
mankind,0,0,0,0,39,0,0,0,39
togetherness,0,0,0,0,1,0,0,0,1
miami's,0,0,0,0,3,0,0,0,3
hardest,9,2,0,0,0,0,0,0,11
bogged,0,0,0,0,0,0,0,1,1
bickering,0,0,0,0,1,0,0,2,3
consensus,0,0,0,0,7,0,0,0,7
dissenting,0,0,0,0,0,0,0,2,2
approvingly,0,2,0,0,0,0,0,0,2
goodbody,0,0,0,0,2,0,0,0,2
long-awaited,3,0,0,0,0,0,0,0,3
indenture,0,0,0,0,2,0,0,0,2
validate,0,0,0,0,0,0,0,2,2
repayable,2,0,0,0,0,0,0,0,2
$15.5,0,0,0,0,1,0,0,0,1
graves,0,0,0,0,9,0,0,0,9
metro,0,0,0,0,3,0,0,0,3
"$500,000",0,0,0,0,3,0,0,0,3
interama,0,0,0,0,4,0,0,0,4
pinched,0,0,0,0,0,0,0,7,7
painstaking,1,0,0,0,0,0,0,0,1
ventures,0,0,0,0,4,0,0,0,4
yielded,0,0,0,0,0,0,0,12,12
$8.5,0,0,0,0,1,0,0,0,1
cooperated,0,0,0,0,0,0,0,2,2
worthwhile,8,0,0,0,0,0,0,0,8
689-page,1,0,0,0,0,0,0,0,1
compilation,0,0,0,0,11,0,0,0,11
documented,0,0,0,0,0,0,0,6,6
florida's,0,0,0,0,2,0,0,0,2
shortest,3,0,0,0,0,0,0,0,3
paragraphs,0,0,0,0,14,0,0,0,14
colee,0,0,0,0,1,0,0,0,1
floridians,0,0,0,0,1,0,0,0,1
singer,0,0,0,0,10,0,0,0,10
complaints,0,0,0,0,8,0,0,0,8
progressed,0,0,0,0,0,0,0,13,13
assess,0,0,0,0,0,0,0,6,6
spectrum,0,0,0,0,14,0,0,0,14
arisen,0,0,0,0,0,0,0,4,4
unification,0,0,0,0,9,0,0,0,9
emerging,0,0,0,0,0,0,0,15,15
adenauer's,0,0,0,0,1,0,0,0,1
bundestag,0,0,0,0,1,0,0,0,1
aging,0,0,0,0,0,0,0,4,4
brandt's,0,0,0,0,1,0,0,0,1
moon-faced,1,0,0,0,0,0,0,0,1
erhart,0,0,0,0,3,0,0,0,3
ascend,0,0,0,0,0,0,0,1,1
wizard,0,0,0,0,3,0,0,0,3
fashioned,0,0,0,0,0,0,0,7,7
germany's,0,0,0,0,2,0,0,0,2
astonishing,8,0,0,0,0,0,0,0,8
rebirth,0,0,0,0,1,0,0,0,1
soul,0,0,0,0,47,0,0,0,47
germans,0,0,0,0,27,0,0,0,27
captive,3,0,0,0,2,0,0,0,5
approaches,0,0,0,0,17,0,0,8,25
veers,0,0,0,0,0,0,0,1,1
firmness,0,0,0,0,4,0,0,0,4
flexibility,0,0,0,0,16,0,0,0,16
regardless,0,38,0,0,0,0,0,0,38
reaffirmed,0,0,0,0,0,0,0,3,3
konrad,0,0,0,0,1,0,0,0,1
rock-like,1,0,0,0,0,0,0,0,1
bismarck,0,0,0,0,1,0,0,0,1
draws,0,0,0,0,0,0,0,14,14
joiners,0,0,0,0,1,0,0,0,1
endearing,3,0,0,0,0,0,0,0,3
amusing,14,0,0,0,0,0,0,0,14
joiner,0,0,0,0,3,0,0,0,3
spectacle,0,0,0,0,18,0,0,0,18
sprouting,0,0,0,0,2,0,0,4,6
root,0,0,0,0,27,0,0,3,30
commendable,5,0,0,0,0,0,0,0,5
gulled,0,0,0,0,0,0,0,1,1
mosk,0,0,0,0,3,0,0,0,3
assail,0,0,0,0,0,0,0,3,3
blanket,0,0,0,0,29,0,0,1,30
accusations,0,0,0,0,3,0,0,0,3
unsupportable,1,0,0,0,0,0,0,0,1
un-american,4,0,0,0,0,0,0,0,4
subversive,2,0,0,0,0,0,0,0,2
disagrees,0,0,0,0,0,0,0,2,2
politically,0,11,0,0,0,0,0,0,11
rewrite,0,0,0,0,2,0,0,2,4
blaming,0,0,0,0,0,0,0,2,2
crude,15,0,0,0,0,0,0,0,15
purport,0,0,0,0,0,0,0,2,2
affinity,0,0,0,0,5,0,0,0,5
preference,0,0,0,0,9,0,0,0,9
would-be,5,0,0,0,0,0,0,0,5
duped,0,0,0,0,0,0,0,1,1
extremists,0,0,0,0,4,0,0,0,4
capitalize,0,0,0,0,0,0,0,4,4
confusions,0,0,0,0,4,0,0,0,4
patriotic,10,0,0,0,0,0,0,0,10
apprehensions,0,0,0,0,5,0,0,0,5
falling,0,0,0,0,1,0,0,32,33
einstein's,0,0,0,0,3,0,0,0,3
fleas,0,0,0,0,2,0,0,0,2
undeniably,0,1,0,0,0,0,0,0,1
tropical,11,0,0,0,0,0,0,0,11
islandia,0,0,0,0,1,0,0,0,1
offshore,1,2,0,0,0,0,0,0,3
unlimited,13,0,0,0,0,0,0,0,13
underneath,0,2,0,0,0,9,0,0,11
devise,0,0,0,0,0,0,0,8,8
above-water,1,0,0,0,0,0,0,0,1
hectic,3,0,0,0,0,0,0,0,3
developers,0,0,0,0,2,0,0,0,2
california's,0,0,0,0,3,0,0,0,3
anti-secrecy,2,0,0,0,0,0,0,0,2
dismaying,3,0,0,0,0,0,0,0,3
hide,0,0,0,0,4,0,0,18,22
objections,0,0,0,0,13,0,0,0,13
commissions,0,0,0,0,11,0,0,0,11
preamble,0,0,0,0,4,0,0,0,4
open-meeting,0,0,0,0,1,0,0,0,1
collectively,0,4,0,0,0,0,0,0,4
intent,3,0,0,0,11,0,0,0,14
sovereignty,0,0,0,0,28,0,0,0,28
delegating,0,0,0,0,0,0,0,2,2
guarantees,0,0,0,0,4,0,0,4,8
plug,0,0,0,0,21,0,0,2,23
loopholes,0,0,0,0,2,0,0,0,2
continuously,0,23,0,0,0,0,0,0,23
subverted,0,0,0,0,0,0,0,1,1
rationalizations,0,0,0,0,1,0,0,0,1
submit,0,0,0,0,0,0,0,18,18
speedily,0,3,0,0,0,0,0,0,3
expeditious,2,0,0,0,0,0,0,0,2
balaguer,0,0,0,0,2,0,0,0,2
restoration,0,0,0,0,11,0,0,0,11
outwardly,0,3,0,0,0,0,0,0,3
warships,0,0,0,0,2,0,0,0,2
wracked,0,0,0,0,0,0,0,1,1
trujillos,0,0,0,0,2,0,0,0,2
takeover,0,0,0,0,2,0,0,0,2
responsive,4,0,0,0,0,0,0,0,4
unilateral,3,0,0,0,0,0,0,0,3
lined,0,0,0,0,0,0,0,16,16
vive,0,0,0,0,0,0,0,1,1
juan,0,0,0,0,7,0,0,0,7
bosch,0,0,0,0,2,0,0,0,2
balaguer's,0,0,0,0,1,0,0,0,1
oas,0,0,0,0,3,0,0,0,3
eradicate,0,0,0,0,0,0,0,2,2
pro-trujillo,1,0,0,0,0,0,0,0,1
pro-castro,1,0,0,0,0,0,0,0,1
secession,0,0,0,0,2,0,0,0,2
breach,0,0,0,0,6,0,0,0,6
automation,0,0,0,0,6,0,0,0,6
reuther,0,0,0,0,1,0,0,0,1
squabbling,0,0,0,0,1,0,0,0,1
disastrous,16,0,0,0,0,0,0,0,16
conjecture,0,0,0,0,3,0,0,0,3
craft-industrial,1,0,0,0,0,0,0,0,1
labor's,0,0,0,0,1,0,0,0,1
feuds,0,0,0,0,2,0,0,0,2
bastion,0,0,0,0,2,0,0,0,2
freeman's,0,0,0,0,1,0,0,0,1
soviet's,0,0,0,0,1,0,0,0,1
farmer's,0,0,0,0,7,0,0,0,7
over-produce,0,0,0,0,0,0,0,1,1
growers,0,0,0,0,3,0,0,0,3
outsmarted,0,0,0,0,0,0,0,2,2
shortening,0,0,0,0,0,0,0,3,3
rows,0,0,0,0,16,0,0,0,16
pouring,0,0,0,0,0,0,0,9,9
swindling,0,0,0,0,0,0,0,1,1
predictable,8,0,0,0,0,0,0,0,8
clearer,15,0,0,0,0,0,0,0,15
revitalize,0,0,0,0,0,0,0,1,1
layers,0,0,0,0,10,0,0,0,10
wedded,0,0,0,0,0,0,0,4,4
innovation,0,0,0,0,7,0,0,0,7
fearful,13,0,0,0,0,0,0,0,13
assistants,0,0,0,0,11,0,0,0,11
restore,0,0,0,0,0,0,0,9,9
subordinates,0,0,0,0,9,0,0,0,9
jackson's,0,0,0,0,2,0,0,0,2
self-criticism,0,0,0,0,2,0,0,0,2
forecasting,0,0,0,0,2,0,0,7,9
hazardous,5,0,0,0,0,0,0,0,5
specialist,0,0,0,0,16,0,0,0,16
prognosticator,0,0,0,0,1,0,0,0,1
cake,0,0,0,0,13,0,0,0,13
fedora,0,0,0,0,2,0,0,0,2
predicting,0,0,0,0,0,0,0,6,6
basing,0,0,0,0,0,0,0,4,4
stride,0,0,0,0,12,0,0,4,16
keel,0,0,0,0,5,0,0,1,6
hurricane,0,0,0,0,8,0,0,0,8
cambodia's,0,0,0,0,1,0,0,0,1
harboring,0,0,0,0,0,0,0,1,1
marauders,0,0,0,0,1,0,0,0,1
sihanouk,0,0,0,0,1,0,0,0,1
concedes,0,0,0,0,0,0,0,1,1
posture,0,0,0,0,13,0,0,0,13
sihanouk's,0,0,0,0,1,0,0,0,1
prognostication,0,0,0,0,1,0,0,0,1
convictions,0,0,0,0,20,0,0,0,20
sighted,0,0,0,0,0,0,0,7,7
pacemaker,0,0,0,0,1,0,0,0,1
washington's,0,0,0,0,7,0,0,0,7
forecasters,0,0,0,0,1,0,0,0,1
hodges',0,0,0,0,2,0,0,0,2
reluctance,0,0,0,0,5,0,0,0,5
pioneered,0,0,0,0,0,0,0,3,3
sliding,0,0,0,0,0,0,0,11,11
january's,0,0,0,0,1,0,0,0,1
corroborating,0,0,0,0,0,0,0,1,1
interrupted,0,0,0,0,0,0,0,18,18
jobless,2,0,0,0,0,0,0,0,2
"8,100",1,0,0,0,0,0,0,0,1
builder's,0,0,0,0,2,0,0,0,2
parceled,0,0,0,0,0,0,0,1,1
shoreline,0,0,0,0,6,0,0,0,6
presses,0,0,0,0,7,0,0,2,9
spaces,0,0,0,0,11,0,0,0,11
herons,0,0,0,0,2,0,0,0,2
battlefront,0,0,0,0,1,0,0,0,1
unimportant,9,0,0,0,0,0,0,0,9
udall,0,0,0,0,6,0,0,0,6
warns,0,0,0,0,0,0,0,3,3
shorelines,0,0,0,0,1,0,0,0,1
preserves,0,0,0,0,8,0,0,3,11
provincetown,0,0,0,0,1,0,0,0,1
chatham,0,0,0,0,3,0,0,0,3
recreation,0,0,0,0,43,0,0,0,43
sanctuary's,0,0,0,0,1,0,0,0,1
formidable,17,0,0,0,0,0,0,0,17
snowy,4,0,0,0,0,0,0,0,4
cattle,0,0,0,0,97,0,0,0,97
egrets,0,0,0,0,1,0,0,0,1
black-crowned,1,0,0,0,0,0,0,0,1
nest,0,0,0,0,19,0,0,1,20
desirability,0,0,0,0,2,0,0,0,2
dunes,0,0,0,0,8,0,0,0,8
sentiment,0,0,0,0,23,0,0,0,23
conserving,0,0,0,0,0,0,0,2,2
joyride,0,0,0,0,2,0,0,0,2
applicants,0,0,0,0,10,0,0,0,10
corpsman,0,0,0,0,1,0,0,0,1
expecting,0,0,0,0,0,0,0,18,18
arduous,4,0,0,0,0,0,0,0,4
16-hour,1,0,0,0,0,0,0,0,1
diet,0,0,0,0,21,0,0,0,21
nil,0,0,0,0,1,0,0,0,1
area's,0,0,0,0,2,0,0,0,2
confirms,0,0,0,0,0,0,0,3,3
reinforces,0,0,0,0,0,0,0,3,3
findings,0,0,0,0,34,0,0,0,34
missouri-illinois,0,0,0,0,1,0,0,0,1
countryside,0,0,0,0,7,0,0,0,7
sits,0,0,0,0,0,0,0,6,6
slow-growing,1,0,0,0,0,0,0,0,1
stagnant,5,0,0,0,0,0,0,0,5
mid-continent,0,0,0,0,1,0,0,0,1
region,0,0,0,0,76,0,0,0,76
slackened,0,0,0,0,0,0,0,3,3
reflects,0,0,0,0,0,0,0,23,23
region's,0,0,0,0,3,0,0,0,3
confined,0,0,0,0,0,0,0,16,16
retarding,0,0,0,0,0,0,0,1,1
stimulating,5,0,0,0,0,0,0,4,9
outstate,1,0,0,0,0,0,0,0,1
dalton's,0,0,0,0,1,0,0,0,1
nine-state,1,0,0,0,0,0,0,0,1
ellis,0,0,0,0,7,0,0,0,7
impartial,8,0,0,0,0,0,0,0,8
dovetail,0,0,0,0,0,0,0,1,1
schwada,0,0,0,0,1,0,0,0,1
outlined,0,0,0,0,0,0,0,6,6
depressed,0,0,0,0,0,0,0,11,11
carbondale,0,0,0,0,2,0,0,0,2
city-owned,1,0,0,0,0,0,0,0,1
accommodate,0,0,0,0,0,0,0,14,14
herrin-murphysboro-west,0,0,0,0,1,0,0,0,1
frankfort,0,0,0,0,1,0,0,0,1
politics-ridden,1,0,0,0,0,0,0,0,1
clair,0,0,0,0,2,0,0,0,2
vacant,11,0,0,0,0,0,0,0,11
unstable,8,0,0,0,0,0,0,0,8
shy,11,0,0,0,0,0,0,2,13
plant-location,0,0,0,0,1,0,0,0,1
civic,23,0,0,0,0,0,0,0,23
sides,0,0,0,0,100,0,0,0,100
acceleration,0,0,0,0,17,0,0,0,17
second-class,0,0,0,0,1,0,0,0,1
reformers,0,0,0,0,2,0,0,0,2
confess,0,0,0,0,0,0,0,11,11
primaries,0,0,0,0,2,0,0,0,2
tammany,0,0,0,0,7,0,0,0,7
tiger,0,0,0,0,7,0,0,0,7
badges,0,0,0,0,1,0,0,0,1
shame,0,0,0,0,20,0,0,1,21
sachems,0,0,0,0,2,0,0,0,2
balks,0,0,0,0,0,0,0,1,1
expunging,0,0,0,0,1,0,0,0,1
sedition,0,0,0,0,1,0,0,0,1
reforming,0,0,0,0,0,0,0,1,1
cartoonists,0,0,0,0,1,0,0,0,1
banishment,0,0,0,0,1,0,0,0,1
donkey,0,0,0,0,1,0,0,0,1
elephant,0,0,0,0,7,0,0,0,7
tiger's,0,0,0,0,1,0,0,0,1
faget,0,0,0,0,5,0,0,0,5
batista,0,0,0,0,7,0,0,0,7
mariano,0,0,0,0,1,0,0,0,1
preposterous,5,0,0,0,0,0,0,0,5
interrogator,0,0,0,0,1,0,0,0,1
refugees,0,0,0,0,7,0,0,0,7
anti-castro,1,0,0,0,0,0,0,0,1
faget's,0,0,0,0,1,0,0,0,1
outdated,0,0,0,0,0,0,0,3,3
screening,0,0,0,0,4,0,0,1,5
haven,0,0,0,0,11,0,0,0,11
batista's,0,0,0,0,3,0,0,0,3
disturb,0,0,0,0,0,0,0,10,10
rests,0,0,0,0,2,0,0,16,18
prerogatives,0,0,0,0,2,0,0,0,2
diligently,0,1,0,0,0,0,0,0,1
searching,0,0,0,0,1,0,0,22,23
all-powerful,2,0,0,0,0,0,0,0,2
salvage,0,0,0,0,3,0,0,2,5
repeat,0,0,0,0,3,0,0,23,26
aloof,2,3,0,0,0,0,0,0,5
strife,0,0,0,0,6,0,0,0,6
sniping,0,0,0,0,1,0,0,0,1
postcard,0,0,0,0,7,0,0,0,7
nigeria,0,0,0,0,1,0,0,0,1
ridicule,0,0,0,0,2,0,0,3,5
ungracious,1,0,0,0,0,0,0,0,1
lent,0,0,0,0,0,0,0,5,5
fellowships,0,0,0,0,3,0,0,0,3
blithely,0,3,0,0,0,0,0,0,3
dollarette,0,0,0,0,1,0,0,0,1
compounded,0,0,0,0,0,0,0,12,12
ex-presidents,0,0,0,0,1,0,0,0,1
accountability,0,0,0,0,4,0,0,0,4
truman's,0,0,0,0,3,0,0,0,3
off-the-cuff,1,0,0,0,0,0,0,0,1
discourses,0,0,0,0,2,0,0,0,2
vein,0,0,0,0,25,0,0,0,25
statesmanship,0,0,0,0,2,0,0,0,2
1936,6,0,0,0,0,0,0,0,6
cunard,0,0,0,0,5,0,0,0,5
influenced,0,0,0,0,0,0,0,16,16
prosaic,2,0,0,0,0,0,0,0,2
q3,0,0,0,0,1,0,0,0,1
shipbuilding,0,0,0,0,3,0,0,0,3
"$50,400,000",0,0,0,0,1,0,0,0,1
"$84,000,000",0,0,0,0,1,0,0,0,1
